CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,Raw_Extracted_VAT,Verified_VAT,Validation_Status
HOCKEY STOP LTD,12343252,,,UNIT 19,ST. HILARY PARK ROAD,KING'S LYNN,NORFOLK,ENGLAND,PE30 4ND,Private Limited Company,Active,United Kingdom,,02/12/2019,31.0,12.0,30/09/2026,31/12/2024,MICRO ENTITY,30/12/2020,,0,0,0,0,"47640 - Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",,,,0,0,http://business.data.gov.uk/id/company/12343252,,,,,,,,,,,,,,,,,,,,,15/12/2026,01/12/2025,360575690,360575690,Valid_HMRC_Matched
OAKSIDE VENTURES LTD,15802979,,,OFFICE 7,35-37 LUDGATE HILL,LONDON,,UNITED KINGDOM,EC4M 7JN,Private Limited Company,Active,United Kingdom,,25/06/2024,30.0,6.0,31/03/2027,30/06/2025,MICRO ENTITY,23/07/2025,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15802979,,,,,,,,,,,,,,,,,,,,,08/07/2027,24/06/2026,922579842,,Valid_HMRC_Different_Company
SPIRAL CONSULTANTS LIMITED,08905847,,,WOODEND,HAMSTREET ROAD,ASHFORD,KENT,UNITED KINGDOM,TN26 2EB,Private Limited Company,Active,United Kingdom,,21/02/2014,28.0,2.0,30/11/2026,28/02/2025,TOTAL EXEMPTION FULL,21/03/2017,21/02/2016,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08905847,,,,,,,,,,,,,,,,,,,,,07/03/2027,21/02/2026,314546025,314546025,Valid_HMRC_Matched
UTOP SERVICES LTD,17047762,,,117 COPPETTS ROAD,,LONDON,,ENGLAND,N10 1JL,Private Limited Company,Active,United Kingdom,,23/02/2026,28.0,2.0,23/11/2027,,NO ACCOUNTS FILED,23/03/2027,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,70229 - Management consultancy activities other than financial management,81210 - General cleaning of buildings,,0,0,http://business.data.gov.uk/id/company/17047762,,,,,,,,,,,,,,,,,,,,,08/03/2027,,,,No_VAT_Found
THE RECRUITMENT CONTACT LTD,15110088,,,6 HORNBY ROAD,BROMBOROUGH,WIRRAL,,ENGLAND,CH62 2EG,Private Limited Company,Active,United Kingdom,,01/09/2023,30.0,9.0,30/06/2026,30/09/2024,TOTAL EXEMPTION FULL,29/09/2024,,0,0,0,0,78109 - Other activities of employment placement agencies,,,,0,0,http://business.data.gov.uk/id/company/15110088,,,,,,,,,,,,,,,,,,,,,16/01/2027,02/01/2026,363441310,363441310,Valid_HMRC_Matched
HEALTHWISE SUPPLIES LTD,16283354,,,12 MARKET PLACE,,FARINGDON,,ENGLAND,SN7 7HP,Private Limited Company,Active,United Kingdom,,28/02/2025,28.0,2.0,30/11/2026,,NO ACCOUNTS FILED,28/03/2026,,0,0,0,0,56290 - Other food services,64201 - Activities of agricultural holding companies,70229 - Management consultancy activities other than financial management,86900 - Other human health activities,0,0,http://business.data.gov.uk/id/company/16283354,,,,,,,,,,,,,,,,,,,,,13/03/2027,27/02/2026,"198219762, 799342081",799342081,Valid_HMRC_Matched
QDM MORTGAGES LTD,13587026,,,63 HEATHFIELDS,DOWNEND,BRISTOL,,UNITED KINGDOM,BS16 6HT,Private Limited Company,Active,United Kingdom,,26/08/2021,31.0,8.0,31/05/2027,31/08/2025,TOTAL EXEMPTION FULL,23/09/2022,,0,0,0,0,64999 - Financial intermediation not elsewhere classified,,,,0,0,http://business.data.gov.uk/id/company/13587026,,,,,,,,,,,,,,,,,,,,,24/10/2026,10/10/2025,,,No_VAT_Found
THE ZOO HOLBROOK LTD,15863622,,,14 CHAPEL STREET,,BELPER,DERBYSHIRE,UNITED KINGDOM,DE56 0TQ,Private Limited Company,Active,United Kingdom,,29/07/2024,31.0,7.0,30/04/2027,31/07/2025,DORMANT,26/08/2025,,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id/company/15863622,,,,,,,,,,,,,,,,,,,,,11/08/2026,28/07/2025,,,No_VAT_Found
GLW BUILDING LTD,14007666,,,4 BROOKLANDS DRIVE,,GLOSSOP,,ENGLAND,SK13 6PT,Private Limited Company,Active,United Kingdom,,28/03/2022,30.0,4.0,31/01/2027,30/04/2025,MICRO ENTITY,25/04/2023,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",43320 - Joinery installation,43910 - Roofing activities,,0,0,http://business.data.gov.uk/id/company/14007666,,,,,,,,,,,,,,,,,,,,,03/04/2027,20/03/2026,"232907220, 411177922",411177922,Valid_HMRC_Matched
KODIVA LTD,10901561,,,328 BEDFONT LANE,,FELTHAM,,UNITED KINGDOM,TW14 9NU,Private Limited Company,Active,United Kingdom,,07/08/2017,31.0,8.0,31/05/2027,31/08/2025,TOTAL EXEMPTION FULL,04/09/2018,,0,0,0,0,38110 - Collection of non-hazardous waste,39000 - Remediation activities and other waste management services,49410 - Freight transport by road,,0,0,http://business.data.gov.uk/id/company/10901561,,,,,,,,,,,,,,,,,,,,,11/05/2026,27/04/2025,200462227,,Valid_HMRC_Different_Company
